Location,Locality,Coordinates,OS grid
Blackmore End,Essex,51.94°N 00.51°E,TL7330
Blackmore End,Hertfordshire,51.83°N 00.31°W,TL1616
Black Muir,Fife,56.07°N 03.51°W,NT0688
Blackness,East Sussex,51.04°N 00.16°E,TQ5230
Blackness,Falkirk,56.00°N 03.52°W,NT0580
Blacknest,Hampshire,51.16°N 00.87°W,SU7941
Blacknest,Berkshire,51.40°N 00.63°W,SU9568
Blackney,Dorset,50.78°N 02.82°W,SY4299
Blacknoll,Dorset,50.67°N 02.28°W,SY8086
Black Notley,Essex,51.85°N 00.55°E,TL7620
Blacko,Lancashire,53.86°N 02.22°W,SD8541
Blackoe,Wrexham,52.94°N 02.73°W,SJ5139
Black Park,Wrexham,52.95°N 03.04°W,SJ3040
Black Park,Highland,57.23°N 05.91°W,NG6423
Black Pill,Swansea,51.59°N 04.00°W,SS6190
Blackpole,Worcestershire,52.21°N 02.20°W,SO8657
Black Pole,Lancashire,53.81°N 02.79°W,SD4836
Blackpool (Start Bay),Devon,50.31°N 03.61°W,SX8547
Blackpool (near Plymouth),Devon,50.36°N 04.02°W,SX5654
Blackpool (Dartmoor),Devon,50.55°N 03.68°W,SX8174
Blackpool,Pembrokeshire,51.79°N 04.81°W,SN0614
Blackpool,Lancashire,53.81°N 03.04°W,SD3136
Blackpool Corner,Devon,50.77°N 02.95°W,SY3398
Blackridge,West Lothian,55.88°N 03.77°W,NS8967
Black Rock,Brighton and Hove,50.81°N 00.11°W,TQ3303
Black Rock,Cornwall,50.15°N 05.27°W,SW6634
Blackrock,Monmouthshire,51.80°N 03.14°W,SO2112
Blackrock,Bath and North East Somerset,51.38°N 02.54°W,ST6265
Blackrock,Argyll and Bute,55.78°N 06.30°W,NR3063
Blackrod,Wigan,53.58°N 02.59°W,SD6110
Blackshaw Head,Calderdale,53.73°N 02.07°W,SD9527
Blackshaw Moor,Staffordshire,53.12°N 02.00°W,SK0059
Blacksmith's Corner,Suffolk,52.01°N 01.10°E,TM1340
Blacksmith's Green,Suffolk,52.24°N 01.13°E,TM1465
Blacksnape,Lancashire,53.68°N 02.44°W,SD7121
Blackstone,West Sussex,50.93°N 00.23°W,TQ2416
Blackstone,Worcestershire,52.36°N 02.30°W,SO7974
Black Street,Suffolk,52.41°N 01.68°E,TM5186
Black Tar,Pembrokeshire,51.74°N 04.91°W,SM9909
Blackthorn,Oxfordshire,51.86°N 01.10°W,SP6219
Blackthorpe,Suffolk,52.23°N 00.78°E,TL9063
Blacktoft,East Riding of Yorkshire,53.70°N 00.72°W,SE8424
Blacktop,City of Aberdeen,57.12°N 02.23°W,NJ8604
Black Torrington,Devon,50.82°N 04.18°W,SS4605
Blacktown,City of Newport,51.52°N 03.06°W,ST2681
Black Vein,Caerphilly,51.61°N 03.12°W,ST2291
Blackwall,Tower Hamlets,51.50°N 00.01°W,TQ3880
Blackwall,Derbyshire,53.03°N 01.62°W,SK2549
Blackwater,Bournemouth,50.75°N 01.81°W,SZ1395
Blackwater,Somerset,50.92°N 03.05°W,ST2615
Blackwater,Isle of Wight,50.67°N 01.29°W,SZ5086
Blackwater,Cornwall,50.27°N 05.18°W,SW7346
Blackwater,Hampshire,51.32°N 00.78°W,SU8559
Blackwater,Norfolk,52.73°N 01.09°E,TG0920
Blackwaterfoot,North Ayrshire,55.50°N 05.34°W,NR8928
Blackweir,Cardiff,51.48°N 03.19°W,ST1777
Blackwell,Devon,51.02°N 03.42°W,ST0026
Blackwell,West Sussex,51.13°N 00.01°W,TQ3939
Blackwell,Worcestershire,52.34°N 02.03°W,SO9872
Blackwell,Warwickshire,52.08°N 01.65°W,SP2443
Blackwell,North Yorkshire,54.50°N 01.58°W,NZ2712
Blackwell,Cumbria,54.86°N 02.93°W,NY4053
Blackwell,Derbyshire,53.11°N 01.35°W,SK4358
Blackwell in the Peak,Derbyshire,53.24°N 01.82°W,SK1272
Blackwood,Caerphilly,51.66°N 03.20°W,ST1797
Blackwood,South Lanarkshire,55.66°N 03.92°W,NS7943
Blackwood,Cheshire,53.40°N 02.57°W,SJ6290
Blacon,Cheshire,53.19°N 02.92°W,SJ3867
